,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species
78,6.0,2.9,4.5,1.5,1
133,6.3,2.8,5.1,1.5,2
131,7.9,3.8,6.4,2.0,2
50,7.0,3.2,4.7,1.4,1
57,4.9,2.4,3.3,1.0,1
69,5.6,2.5,3.9,1.1,1
148,6.2,3.4,5.4,2.3,2
85,6.0,3.4,4.5,1.6,1
134,6.1,2.6,5.6,1.4,2
81,5.5,2.4,3.7,1.0,1
132,6.4,2.8,5.6,2.2,2
17,5.1,3.5,1.4,0.3,0
11,4.8,3.4,1.6,0.2,0
97,6.2,2.9,4.3,1.3,1
88,5.6,3.0,4.1,1.3,1
75,6.6,3.0,4.4,1.4,1
39,5.1,3.4,1.5,0.2,0
96,5.7,2.9,4.2,1.3,1
12,4.8,3.0,1.4,0.1,0
86,6.7,3.1,4.7,1.5,1
141,6.9,3.1,5.1,2.3,2
83,6.0,2.7,5.1,1.6,1
18,5.7,3.8,1.7,0.3,0
26,5.0,3.4,1.6,0.4,0
140,6.7,3.1,5.6,2.4,2
39,5.1,3.4,1.5,0.2,0
95,5.7,3.0,4.2,1.2,1
126,6.2,2.8,4.8,1.8,2
133,6.3,2.8,5.1,1.5,2
42,4.4,3.2,1.3,0.2,0
